date,country,D,H,I,M,S
2019-09-20,Italy,1,0,0,56,0
2019-09-20,Japan,0,0,0,121,1
2019-09-21,Italy,1,0,0,56,0
2019-09-21,Japan,0,0,0,121,1
2019-09-22,Italy,1,0,0,56,0
2019-09-22,Japan,0,0,0,122,0
2019-09-23,Italy,1,0,0,56,0
2019-09-23,Japan,0,0,0,122,0
2019-09-24,Italy,1,0,0,56,0
2019-09-24,Japan,0,0,0,122,0
2019-09-25,Italy,1,0,0,56,0
2019-09-25,Japan,0,0,0,122,0
2019-09-26,Italy,1,0,0,56,0
2019-09-26,Japan,0,0,0,122,0
2019-09-27,Italy,1,0,0,56,0
2019-09-27,Japan,0,0,0,122,0
2019-09-28,Italy,1,0,0,56,0
2019-09-28,Japan,0,0,0,122,0
2019-09-29,Italy,1,0,0,56,0
2019-09-29,Japan,0,0,0,122,0
2019-09-30,Italy,1,0,0,56,0
2019-09-30,Japan,0,0,0,122,0
2019-10-01,Italy,1,0,0,56,0
2019-10-01,Japan,0,0,0,122,0
2019-10-02,Italy,1,0,0,56,0
2019-10-02,Japan,0,0,0,122,0
2019-10-03,Italy,1,0,0,56,0
2019-10-03,Japan,0,0,0,122,0
2019-10-04,Italy,1,0,0,56,0
2019-10-04,Japan,0,0,0,122,0
2019-10-05,Italy,1,0,0,56,0
2019-10-05,Japan,0,0,0,122,0
2019-10-06,Italy,1,0,0,56,0
2019-10-06,Japan,0,0,0,122,0
2019-10-07,Italy,1,0,0,56,0
2019-10-07,Japan,0,0,0,122,0
2019-10-08,Italy,1,0,0,56,0
2019-10-08,Japan,0,0,0,122,0
2019-10-09,Italy,1,0,0,56,0
2019-10-09,Japan,0,0,0,122,0
2019-10-10,Italy,1,0,0,56,0
2019-10-10,Japan,0,0,0,122,0
2019-10-11,Italy,1,0,0,56,0
2019-10-11,Japan,0,0,0,122,0
2019-10-12,Italy,1,0,0,56,0
2019-10-12,Japan,0,0,0,122,0
2019-10-13,Italy,1,0,0,56,0
2019-10-13,Japan,0,0,0,122,0
2019-10-14,Italy,1,0,0,56,0
2019-10-14,Japan,0,0,0,122,0
2019-10-15,Italy,1,0,0,56,0
2019-10-15,Japan,0,0,0,122,0
2019-10-16,Italy,1,0,0,56,0
2019-10-16,Japan,0,0,0,122,0
2019-10-17,Italy,1,0,0,56,0
2019-10-17,Japan,0,0,0,122,0
2019-10-18,Italy,1,0,0,56,0
2019-10-18,Japan,0,0,0,122,0
2019-10-19,Italy,1,0,0,56,0
2019-10-19,Japan,0,0,0,122,0
2019-10-20,Italy,1,0,0,56,0
2019-10-20,Japan,0,0,0,122,0
2019-10-21,Italy,1,0,0,56,0
2019-10-21,Japan,0,0,0,122,0
2019-10-22,Italy,1,0,0,56,0
2019-10-22,Japan,0,0,0,122,0
2019-10-23,Italy,1,0,0,56,0
2019-10-23,Japan,0,0,0,122,0
2019-10-24,Italy,1,0,0,56,0
2019-10-24,Japan,0,0,0,122,0
2019-10-25,Italy,1,0,0,56,0
2019-10-25,Japan,0,0,0,122,0
2019-10-26,Italy,1,0,0,56,0
2019-10-26,Japan,0,0,0,122,0
2019-10-27,Italy,1,0,0,56,0
2019-10-27,Japan,0,0,0,122,0
2019-10-28,Italy,1,0,0,56,0
2019-10-28,Japan,0,0,0,122,0
2019-10-29,Italy,1,0,0,56,0
2019-10-29,Japan,0,0,0,122,0
2019-10-30,Italy,1,0,0,56,0
2019-10-30,Japan,0,0,0,122,0
2019-10-31,Italy,1,0,0,56,0
2019-10-31,Japan,0,0,0,122,0
2019-11-01,Italy,1,0,0,56,0
2019-11-01,Japan,0,0,0,122,0
2019-11-02,Italy,1,0,0,56,0
2019-11-02,Japan,0,0,0,122,0
2019-11-03,Italy,1,0,0,56,0
2019-11-03,Japan,0,0,0,122,0
2019-11-04,Italy,1,0,0,56,0
2019-11-04,Japan,0,0,0,122,0
2019-11-05,Italy,1,0,0,56,0
2019-11-05,Japan,0,0,0,122,0
2019-11-06,Italy,1,0,0,56,0
2019-11-06,Japan,0,0,0,122,0
2019-11-07,Italy,1,0,0,56,0
2019-11-07,Japan,0,0,0,122,0
2019-11-08,Italy,1,0,0,56,0
2019-11-08,Japan,0,0,0,122,0
2019-11-09,Italy,1,0,0,56,0
2019-11-09,Japan,0,0,0,122,0
2019-11-10,Italy,1,0,0,56,0
2019-11-10,Japan,0,0,0,122,0
2019-11-11,Italy,1,0,0,56,0
2019-11-11,Japan,0,0,0,122,0
2019-11-12,Italy,1,0,0,56,0
2019-11-12,Japan,0,0,0,122,0
2019-11-13,Italy,1,0,0,56,0
2019-11-13,Japan,0,0,0,122,0
2019-11-14,Italy,1,0,0,56,0
2019-11-14,Japan,0,0,0,122,0
2019-11-15,Italy,1,0,0,56,0
2019-11-15,Japan,0,0,0,122,0
2019-11-16,Italy,1,0,0,56,0
2019-11-16,Japan,0,0,0,122,0
2019-11-17,Italy,1,0,0,56,0
2019-11-17,Japan,0,0,0,122,0
2019-11-18,Italy,1,0,0,56,0
2019-11-18,Japan,0,0,0,122,0
2019-11-19,Italy,1,0,0,56,0
2019-11-19,Japan,0,0,0,122,0
2019-11-20,Italy,1,0,0,56,0
2019-11-20,Japan,0,0,0,122,0
2019-11-21,Italy,1,0,0,56,0
2019-11-21,Japan,0,0,0,122,0
2019-11-22,Italy,1,0,0,56,0
2019-11-22,Japan,0,0,0,122,0
2019-11-23,Italy,1,0,0,56,0
2019-11-23,Japan,0,0,0,122,0
2019-11-24,Italy,1,0,0,56,0
2019-11-24,Japan,0,0,0,122,0
2019-11-25,Italy,1,0,0,56,0
2019-11-25,Japan,0,0,0,122,0
2019-11-26,Italy,1,0,0,56,0
2019-11-26,Japan,0,0,0,122,0
2019-11-27,Italy,1,0,0,56,0
2019-11-27,Japan,0,0,0,122,0
2019-11-28,Italy,1,0,0,56,0
2019-11-28,Japan,0,0,0,122,0
2019-11-29,Italy,1,0,0,56,0
2019-11-29,Japan,0,0,0,122,0
2019-11-30,Italy,1,0,0,56,0
2019-11-30,Japan,0,0,0,122,0
2019-12-01,Italy,1,0,0,56,0
2019-12-01,Japan,0,0,0,122,0
2019-12-02,Italy,1,0,0,56,0
2019-12-02,Japan,0,0,0,122,0
2019-12-03,Italy,1,0,0,56,0
2019-12-03,Japan,0,0,0,122,0
2019-12-04,Italy,1,0,0,56,0
2019-12-04,Japan,0,0,0,122,0
2019-12-05,Italy,1,3,0,53,0
2019-12-05,Japan,0,7,0,115,0
2019-12-06,Italy,1,6,0,50,0
2019-12-06,Japan,0,13,0,109,0
2019-12-07,Italy,1,8,0,48,0
2019-12-07,Japan,0,17,2,103,0
2019-12-08,Italy,1,8,1,47,0
2019-12-08,Japan,0,16,4,102,0
2019-12-09,Italy,1,7,2,47,0
2019-12-09,Japan,0,22,5,95,0
2019-12-10,Italy,1,7,4,45,0
2019-12-10,Japan,0,25,6,91,0
2019-12-11,Italy,1,13,4,39,0
2019-12-11,Japan,0,27,7,88,0
2019-12-12,Italy,1,13,6,37,0
2019-12-12,Japan,0,30,6,85,1
2019-12-13,Italy,1,11,7,37,1
2019-12-13,Japan,0,29,7,84,2
2019-12-14,Italy,1,9,8,38,1
2019-12-14,Japan,0,30,10,79,3
2019-12-15,Italy,1,12,6,36,2
2019-12-15,Japan,0,28,13,77,4
2019-12-16,Italy,1,15,6,33,2
2019-12-16,Japan,0,26,15,76,5
2019-12-17,Italy,1,15,4,34,3
2019-12-17,Japan,0,23,17,76,6
2019-12-18,Italy,1,13,4,36,3
2019-12-18,Japan,0,22,15,77,8
2019-12-19,Italy,1,12,3,37,4
2019-12-19,Japan,0,23,12,78,9
2019-12-20,Italy,1,14,4,34,4
2019-12-20,Japan,0,24,11,76,11
2019-12-21,Italy,1,14,5,33,4
2019-12-21,Japan,0,27,11,72,12
2019-12-22,Italy,1,16,7,29,4
2019-12-22,Japan,0,34,10,64,14
2019-12-23,Italy,1,14,8,30,4
2019-12-23,Japan,0,40,11,57,14
2019-12-24,Italy,1,16,7,28,5
2019-12-24,Japan,0,44,13,51,14
2019-12-25,Italy,1,14,8,29,5
2019-12-25,Japan,0,43,13,51,15
2019-12-26,Italy,1,14,8,29,5
2019-12-26,Japan,0,40,17,47,18
2019-12-27,Italy,1,15,9,26,6
2019-12-27,Japan,0,40,20,43,19
2019-12-28,Italy,1,16,6,27,7
2019-12-28,Japan,0,38,23,41,20
2019-12-29,Italy,1,16,7,26,7
2019-12-29,Japan,0,41,21,39,21
2019-12-30,Italy,1,16,6,28,6
2019-12-30,Japan,1,39,20,40,22
2019-12-31,Italy,1,14,7,29,6
2019-12-31,Japan,1,36,17,44,24
2020-01-01,Italy,1,14,4,32,6
2020-01-01,Japan,1,34,15,47,25
2020-01-02,Italy,1,11,7,32,6
2020-01-02,Japan,1,31,13,50,27
2020-01-03,Italy,1,13,6,31,6
2020-01-03,Japan,1,32,13,50,26
2020-01-04,Italy,1,12,7,30,7
2020-01-04,Japan,1,26,18,52,25
2020-01-05,Italy,1,14,5,28,9
2020-01-05,Japan,1,24,17,54,26
2020-01-06,Italy,1,15,5,27,9
2020-01-06,Japan,1,21,19,55,26
2020-01-07,Italy,1,14,5,25,12
2020-01-07,Japan,1,20,20,53,28
2020-01-08,Italy,1,14,5,26,11
2020-01-08,Japan,1,21,20,51,29
2020-01-09,Italy,1,16,3,24,13
2020-01-09,Japan,1,17,18,56,30
2020-01-10,Italy,1,13,6,24,13
2020-01-10,Japan,1,17,16,59,29
2020-01-11,Italy,1,12,8,24,12
2020-01-11,Japan,1,16,12,64,29
2020-01-12,Italy,1,10,7,28,11
2020-01-12,Japan,1,13,12,67,29
2020-01-13,Italy,1,9,8,28,11
2020-01-13,Japan,1,13,11,70,27
2020-01-14,Italy,1,7,10,28,11
2020-01-14,Japan,1,14,7,72,28
2020-01-15,Italy,1,7,7,30,12
2020-01-15,Japan,1,15,6,74,26
2020-01-16,Italy,1,6,6,32,12
2020-01-16,Japan,1,12,8,77,24
2020-01-17,Italy,1,5,6,32,13
2020-01-17,Japan,2,10,6,83,21
2020-01-18,Italy,1,5,5,33,13
2020-01-18,Japan,2,10,6,83,21
2020-01-19,Italy,1,5,3,36,12
2020-01-19,Japan,2,10,5,85,20
2020-01-20,Italy,1,4,4,38,10
2020-01-20,Japan,2,10,5,87,18
2020-01-21,Italy,1,4,3,39,10
2020-01-21,Japan,2,10,3,91,16
2020-01-22,Italy,1,4,1,43,8
2020-01-22,Japan,2,9,2,94,15
2020-01-23,Italy,1,4,1,43,8
2020-01-23,Japan,2,7,4,95,14
2020-01-24,Italy,1,3,2,45,6
2020-01-24,Japan,2,7,4,97,12
2020-01-25,Italy,1,3,1,45,7
2020-01-25,Japan,2,5,6,99,10
2020-01-26,Italy,1,3,1,45,7
2020-01-26,Japan,2,5,5,101,9
2020-01-27,Italy,1,2,2,46,6
2020-01-27,Japan,2,5,4,103,8
2020-01-28,Italy,1,2,2,46,6
2020-01-28,Japan,2,4,3,103,10
2020-01-29,Italy,1,1,2,46,7
2020-01-29,Japan,2,3,4,106,7
2020-01-30,Italy,1,1,2,47,6
2020-01-30,Japan,2,3,2,108,7
2020-01-31,Italy,1,1,2,48,5
2020-01-31,Japan,2,3,2,108,7
2020-02-01,Italy,1,1,1,50,4
2020-02-01,Japan,2,3,2,109,6
2020-02-02,Italy,1,1,1,51,3
2020-02-02,Japan,2,3,1,109,7
2020-02-03,Italy,1,1,0,52,3
2020-02-03,Japan,2,3,0,110,7
2020-02-04,Italy,1,0,1,52,3
2020-02-04,Japan,2,3,0,110,7
2020-02-05,Italy,1,0,1,52,3
2020-02-05,Japan,2,3,0,110,7
2020-02-06,Italy,1,0,1,53,2
2020-02-06,Japan,2,3,0,111,6
2020-02-07,Italy,1,0,1,53,2
2020-02-07,Japan,2,3,0,111,6
2020-02-08,Italy,1,0,1,53,2
2020-02-08,Japan,2,3,0,111,6
2020-02-09,Italy,1,0,0,54,2
2020-02-09,Japan,2,3,0,111,6
2020-02-10,Italy,1,0,0,54,2
2020-02-10,Japan,2,3,0,112,5
2020-02-11,Italy,1,0,0,54,2
2020-02-11,Japan,2,3,0,113,4
2020-02-12,Italy,1,0,0,54,2
2020-02-12,Japan,2,2,1,115,2
2020-02-13,Italy,1,0,0,55,1
2020-02-13,Japan,2,2,1,115,2
2020-02-14,Italy,1,0,0,55,1
2020-02-14,Japan,2,2,1,116,1
2020-02-15,Italy,1,0,0,55,1
2020-02-15,Japan,2,1,2,116,1
2020-02-16,Italy,1,0,0,55,1
2020-02-16,Japan,2,1,2,116,1
2020-02-17,Italy,1,0,0,55,1
2020-02-17,Japan,2,0,2,118,0
2020-02-18,Italy,1,0,0,55,1
2020-02-18,Japan,2,0,2,118,0
2020-02-19,Italy,1,0,0,55,1
2020-02-19,Japan,2,0,2,118,0
2020-02-20,Italy,1,0,0,55,1
2020-02-20,Japan,2,0,1,119,0
2020-02-21,Italy,1,0,0,55,1
2020-02-21,Japan,2,0,1,119,0
2020-02-22,Italy,1,0,0,55,1
2020-02-22,Japan,2,0,0,119,1
2020-02-23,Italy,1,0,0,55,1
2020-02-23,Japan,2,0,0,119,1
2020-02-24,Italy,1,0,0,56,0
2020-02-24,Japan,2,0,0,119,1
2020-02-25,Italy,1,0,0,56,0
2020-02-25,Japan,2,0,0,119,1
2020-02-26,Italy,1,0,0,56,0
2020-02-26,Japan,2,0,0,119,1
2020-02-27,Italy,1,0,0,56,0
2020-02-27,Japan,2,0,0,119,1
2020-02-28,Italy,1,0,0,56,0
2020-02-28,Japan,2,0,0,119,1
2020-02-29,Italy,1,0,0,56,0
2020-02-29,Japan,2,0,0,119,1
2020-03-01,Italy,1,0,0,56,0
2020-03-01,Japan,2,0,0,119,1
2020-03-02,Italy,1,0,0,56,0
2020-03-02,Japan,2,0,0,119,1
2020-03-03,Italy,1,0,0,56,0
2020-03-03,Japan,2,0,0,119,1
2020-03-04,Italy,1,0,0,56,0
2020-03-04,Japan,2,0,0,119,1
2020-03-05,Italy,1,0,0,56,0
2020-03-05,Japan,2,0,0,119,1
2020-03-06,Italy,1,0,0,56,0
2020-03-06,Japan,2,0,0,119,1
2020-03-07,Italy,1,0,0,56,0
2020-03-07,Japan,2,0,0,119,1
2020-03-08,Italy,1,0,0,56,0
2020-03-08,Japan,2,0,0,120,0
2020-03-09,Italy,1,0,0,56,0
2020-03-09,Japan,2,0,0,120,0
2020-03-10,Italy,1,0,0,56,0
2020-03-10,Japan,2,0,0,120,0
2020-03-11,Italy,1,0,0,56,0
2020-03-11,Japan,2,0,0,120,0
2020-03-12,Italy,1,0,0,56,0
2020-03-12,Japan,2,0,0,120,0
2020-03-13,Italy,1,0,0,56,0
2020-03-13,Japan,2,0,0,120,0
2020-03-14,Italy,1,0,0,56,0
2020-03-14,Japan,2,0,0,120,0
2020-03-15,Italy,1,0,0,56,0
2020-03-15,Japan,2,0,0,120,0
2020-03-16,Italy,1,0,0,56,0
2020-03-16,Japan,2,0,0,120,0
2020-03-17,Italy,1,0,0,56,0
2020-03-17,Japan,2,0,0,120,0
2020-03-18,Italy,1,0,0,56,0
2020-03-18,Japan,2,0,0,120,0
2020-03-19,Italy,1,0,0,56,0
2020-03-19,Japan,2,0,0,120,0
2020-03-20,Italy,1,0,0,56,0
2020-03-20,Japan,2,0,0,120,0
2020-03-21,Italy,1,0,0,56,0
2020-03-21,Japan,2,0,0,120,0
2020-03-22,Italy,1,0,0,56,0
2020-03-22,Japan,2,0,0,120,0
2020-03-23,Italy,1,0,0,56,0
2020-03-23,Japan,2,0,0,120,0
2020-03-24,Italy,1,0,0,56,0
2020-03-24,Japan,2,0,0,120,0
2020-03-25,Italy,1,0,0,56,0
2020-03-25,Japan,2,0,0,120,0
2020-03-26,Italy,1,0,0,56,0
2020-03-26,Japan,2,0,0,120,0
2020-03-27,Italy,1,0,0,56,0
2020-03-27,Japan,2,0,0,120,0
2020-03-28,Italy,1,0,0,56,0
2020-03-28,Japan,2,0,0,120,0
2020-03-29,Italy,1,0,0,56,0
2020-03-29,Japan,2,0,0,120,0
2020-03-30,Italy,1,0,0,56,0
2020-03-30,Japan,2,0,0,120,0
2020-03-31,Italy,1,0,0,56,0
2020-03-31,Japan,2,0,0,120,0
2020-04-01,Italy,1,0,0,56,0
2020-04-01,Japan,2,0,0,120,0
2020-04-02,Italy,1,0,0,56,0
2020-04-02,Japan,2,0,0,120,0
2020-04-03,Italy,1,0,0,56,0
2020-04-03,Japan,2,0,0,120,0
2020-04-04,Italy,1,0,0,56,0
2020-04-04,Japan,2,0,0,120,0
2020-04-05,Italy,1,0,0,56,0
2020-04-05,Japan,2,0,0,120,0
2020-04-06,Italy,1,0,0,56,0
2020-04-06,Japan,2,0,0,120,0
2020-04-07,Italy,1,0,0,56,0
2020-04-07,Japan,2,0,0,120,0
2020-04-08,Italy,1,0,0,56,0
2020-04-08,Japan,2,0,0,120,0
2020-04-09,Italy,1,0,0,56,0
2020-04-09,Japan,2,0,0,120,0
2020-04-10,Italy,1,0,0,56,0
2020-04-10,Japan,2,0,0,120,0
2020-04-11,Italy,1,0,0,56,0
2020-04-11,Japan,2,1,0,119,0
2020-04-12,Italy,1,0,0,56,0
2020-04-12,Japan,2,2,0,118,0
2020-04-13,Italy,1,1,0,55,0
2020-04-13,Japan,2,2,0,118,0
2020-04-14,Italy,1,2,0,54,0
2020-04-14,Japan,2,2,0,118,0
2020-04-15,Italy,1,2,0,54,0
2020-04-15,Japan,2,2,0,118,0
2020-04-16,Italy,1,3,0,53,0
2020-04-16,Japan,2,2,0,118,0
2020-04-17,Italy,1,4,1,51,0
2020-04-17,Japan,2,3,0,117,0
2020-04-18,Italy,1,5,1,50,0
2020-04-18,Japan,2,5,1,114,0
2020-04-19,Italy,1,5,1,50,0
2020-04-19,Japan,2,7,1,112,0
2020-04-20,Italy,1,5,1,50,0
2020-04-20,Japan,2,9,1,110,0
2020-04-21,Italy,1,4,2,50,0
2020-04-21,Japan,2,9,2,109,0
2020-04-22,Italy,1,6,1,48,1
2020-04-22,Japan,2,10,2,108,0
2020-04-23,Italy,1,6,1,48,1
2020-04-23,Japan,2,11,1,107,1
2020-04-24,Italy,1,5,3,47,1
2020-04-24,Japan,2,13,1,105,1
2020-04-25,Italy,1,6,3,46,1
2020-04-25,Japan,2,13,1,105,1
2020-04-26,Italy,1,7,2,46,1
2020-04-26,Japan,2,13,1,104,2
2020-04-27,Italy,1,7,4,44,1
2020-04-27,Japan,2,13,2,103,2
2020-04-28,Italy,1,7,4,44,1
2020-04-28,Japan,2,15,2,101,2
2020-04-29,Italy,1,8,4,41,3
2020-04-29,Japan,2,16,2,100,2
2020-04-30,Italy,1,8,5,40,3
2020-04-30,Japan,2,17,6,95,2
2020-05-01,Italy,1,11,5,37,3
2020-05-01,Japan,2,18,8,91,3
2020-05-02,Italy,1,10,4,38,4
2020-05-02,Japan,2,19,9,88,4
2020-05-03,Italy,1,11,4,37,4
2020-05-03,Japan,2,19,11,86,4
2020-05-04,Italy,1,10,3,38,5
2020-05-04,Japan,2,19,14,83,4
2020-05-05,Italy,1,10,2,38,6
2020-05-05,Japan,2,17,15,83,5
2020-05-06,Italy,1,9,3,38,6
2020-05-06,Japan,2,18,14,82,6
2020-05-07,Italy,1,8,3,40,5
2020-05-07,Japan,2,16,15,83,6
2020-05-08,Italy,1,8,4,39,5
2020-05-08,Japan,2,15,14,84,7
2020-05-09,Italy,1,7,4,40,5
2020-05-09,Japan,2,21,11,80,8
2020-05-10,Italy,1,7,4,40,5
2020-05-10,Japan,2,21,10,79,10
2020-05-11,Italy,1,8,3,39,6
2020-05-11,Japan,2,24,10,77,9
2020-05-12,Italy,1,11,3,36,6
2020-05-12,Japan,2,24,11,74,11
2020-05-13,Italy,1,11,2,37,6
2020-05-13,Japan,2,24,13,71,12
2020-05-14,Italy,1,10,2,39,5
2020-05-14,Japan,2,24,17,67,12
2020-05-15,Italy,1,12,2,37,5
2020-05-15,Japan,2,26,14,67,13
2020-05-16,Italy,1,13,3,35,5
2020-05-16,Japan,2,25,16,66,13
2020-05-17,Italy,1,13,3,36,4
2020-05-17,Japan,2,30,13,64,13
2020-05-18,Italy,1,14,3,35,4
2020-05-18,Japan,2,27,13,65,15
2020-05-19,Italy,1,15,4,33,4
2020-05-19,Japan,2,26,12,65,17
2020-05-20,Italy,1,16,5,32,3
2020-05-20,Japan,2,24,15,64,17
2020-05-21,Italy,1,15,6,32,3
2020-05-21,Japan,2,26,14,62,18
2020-05-22,Italy,1,19,5,28,4
2020-05-22,Japan,2,28,14,60,18
2020-05-23,Italy,1,17,7,28,4
2020-05-23,Japan,2,25,15,63,17
2020-05-24,Italy,1,17,7,27,5
2020-05-24,Japan,2,25,14,64,17
2020-05-25,Italy,1,15,8,27,6
2020-05-25,Japan,2,25,12,68,15
2020-05-26,Italy,1,14,7,29,6
2020-05-26,Japan,2,24,12,68,16
2020-05-27,Italy,1,15,7,28,6
2020-05-27,Japan,2,23,14,68,15
2020-05-28,Italy,1,14,6,29,7
2020-05-28,Japan,2,21,12,72,15
2020-05-29,Italy,1,14,4,30,8
2020-05-29,Japan,2,20,14,71,15
2020-05-30,Italy,1,13,4,29,10
2020-05-30,Japan,2,17,17,72,14
2020-05-31,Italy,1,14,3,28,11
2020-05-31,Japan,2,16,15,75,14
2020-06-01,Italy,1,16,3,26,11
2020-06-01,Japan,2,16,13,77,14
2020-06-02,Italy,1,16,3,25,12
2020-06-02,Japan,2,14,13,80,13
2020-06-03,Italy,1,14,6,25,11
2020-06-03,Japan,2,15,9,84,12
2020-06-04,Italy,1,13,5,26,12
2020-06-04,Japan,2,15,4,86,15
2020-06-05,Italy,1,13,5,26,12
2020-06-05,Japan,2,13,5,89,13
2020-06-06,Italy,1,13,6,26,11
2020-06-06,Japan,2,13,5,88,14
2020-06-07,Italy,1,13,5,27,11
2020-06-07,Japan,2,12,4,91,13
2020-06-08,Italy,1,12,3,29,12
2020-06-08,Japan,2,10,6,92,12
2020-06-09,Italy,1,13,2,30,11
2020-06-09,Japan,2,9,7,92,12
2020-06-10,Italy,1,10,5,31,10
2020-06-10,Japan,2,8,7,93,12
2020-06-11,Italy,1,8,6,31,11
2020-06-11,Japan,2,9,6,94,11
2020-06-12,Italy,1,7,7,32,10
2020-06-12,Japan,2,11,5,93,11
2020-06-13,Italy,1,8,6,34,8
2020-06-13,Japan,2,11,3,95,11
2020-06-14,Italy,1,6,8,36,6
2020-06-14,Japan,2,11,3,95,11
2020-06-15,Italy,1,6,5,39,6
2020-06-15,Japan,2,11,1,97,11
2020-06-16,Italy,1,5,4,39,8
2020-06-16,Japan,2,10,2,98,10
2020-06-17,Italy,1,4,4,41,7
2020-06-17,Japan,2,11,3,97,9
2020-06-18,Italy,1,4,4,41,7
2020-06-18,Japan,2,8,6,98,8
2020-06-19,Italy,1,4,2,43,7
2020-06-19,Japan,2,8,5,103,4
2020-06-20,Italy,1,4,2,43,7
2020-06-20,Japan,2,8,6,102,4
2020-06-21,Italy,1,3,2,44,7
2020-06-21,Japan,2,7,6,103,4
2020-06-22,Italy,1,3,1,44,8
2020-06-22,Japan,2,6,6,104,4
2020-06-23,Italy,1,3,1,46,6
2020-06-23,Japan,2,4,5,105,6
2020-06-24,Italy,1,4,1,45,6
2020-06-24,Japan,2,4,5,105,6
2020-06-25,Italy,1,3,2,45,6
2020-06-25,Japan,2,2,6,107,5
2020-06-26,Italy,1,3,1,47,5
2020-06-26,Japan,2,2,5,107,6
2020-06-27,Italy,1,3,1,47,5
2020-06-27,Japan,2,2,4,109,5
2020-06-28,Italy,1,3,1,47,5
